2025-07-31-14-14: epoch: 1 |tot 4.356248 | hm 2.576590 | wh 3.768286 | reg 0.306867 | ltrb_amodal 3.611593 | tracking 0.734803 | time 0.383333 | 
2025-07-31-14-14: epoch: 2 |tot 2.277667 | hm 1.128971 | wh 1.454542 | reg 0.240945 | ltrb_amodal 1.145684 | tracking 0.647729 | time 0.233333 | 
2025-07-31-14-15: epoch: 3 |tot 1.799011 | hm 0.820286 | wh 1.088768 | reg 0.200493 | ltrb_amodal 0.751135 | tracking 0.594241 | time 0.233333 | 
2025-07-31-14-15: epoch: 4 |tot 1.556578 | hm 0.680548 | wh 0.887691 | reg 0.181584 | ltrb_amodal 0.628140 | tracking 0.542862 | time 0.250000 | 
2025-07-31-14-15: epoch: 5 |tot 1.479033 | hm 0.611437 | wh 0.813806 | reg 0.171384 | ltrb_amodal 0.550030 | tracking 0.559828 | time 0.250000 | 
2025-07-31-14-15: epoch: 6 |tot 1.479032 | hm 0.573972 | wh 0.732981 | reg 0.164367 | ltrb_amodal 0.502128 | tracking 0.617183 | time 0.250000 | 
2025-07-31-14-16: epoch: 7 |tot 1.349152 | hm 0.532881 | wh 0.702626 | reg 0.158489 | ltrb_amodal 0.463764 | tracking 0.541143 | time 0.250000 | 
2025-07-31-14-16: epoch: 8 |tot 1.297726 | hm 0.498771 | wh 0.641664 | reg 0.155670 | ltrb_amodal 0.419542 | tracking 0.537165 | time 0.250000 | 
2025-07-31-14-16: epoch: 9 |tot 1.271270 | hm 0.495718 | wh 0.615740 | reg 0.155265 | ltrb_amodal 0.391677 | tracking 0.519545 | time 0.250000 | 
2025-07-31-14-16: epoch: 10 |tot 1.172263 | hm 0.461530 | wh 0.599962 | reg 0.151294 | ltrb_amodal 0.373187 | tracking 0.462123 | time 0.266667 | 
2025-07-31-14-17: epoch: 11 |tot 1.163698 | hm 0.453500 | wh 0.610450 | reg 0.149270 | ltrb_amodal 0.374581 | tracking 0.462425 | time 0.266667 | 
2025-07-31-14-17: epoch: 12 |tot 1.236842 | hm 0.466844 | wh 0.586571 | reg 0.151657 | ltrb_amodal 0.354679 | tracking 0.524217 | time 0.266667 | 
2025-07-31-14-17: epoch: 13 |tot 1.170156 | hm 0.447260 | wh 0.565817 | reg 0.149388 | ltrb_amodal 0.340551 | tracking 0.482871 | time 0.266667 | 
2025-07-31-14-18: epoch: 14 |tot 1.099054 | hm 0.434614 | wh 0.554329 | reg 0.148804 | ltrb_amodal 0.332744 | tracking 0.426929 | time 0.266667 | 
2025-07-31-14-18: epoch: 15 |tot 1.094691 | hm 0.436986 | wh 0.572658 | reg 0.148973 | ltrb_amodal 0.343273 | tracking 0.417140 | time 0.266667 | 
2025-07-31-14-18: epoch: 16 |tot 0.985463 | hm 0.409449 | wh 0.546535 | reg 0.144146 | ltrb_amodal 0.330388 | tracking 0.344175 | time 0.266667 | 
2025-07-31-14-18: epoch: 17 |tot 0.978789 | hm 0.407855 | wh 0.550610 | reg 0.143321 | ltrb_amodal 0.328298 | tracking 0.339723 | time 0.266667 | 
2025-07-31-14-19: epoch: 18 |tot 0.950463 | hm 0.404572 | wh 0.536872 | reg 0.146704 | ltrb_amodal 0.322846 | tracking 0.313215 | time 0.266667 | 
2025-07-31-14-19: epoch: 19 |tot 0.960999 | hm 0.409341 | wh 0.522549 | reg 0.148103 | ltrb_amodal 0.316090 | tracking 0.319691 | time 0.266667 | 
2025-07-31-14-19: epoch: 20 |tot 0.935919 | hm 0.398615 | wh 0.511063 | reg 0.144981 | ltrb_amodal 0.309014 | tracking 0.310315 | time 0.266667 | 
2025-07-31-14-20: epoch: 21 |tot 0.895022 | hm 0.391119 | wh 0.494995 | reg 0.145943 | ltrb_amodal 0.303514 | tracking 0.278109 | time 0.266667 | 
2025-07-31-14-20: epoch: 22 |tot 0.886605 | hm 0.383984 | wh 0.498334 | reg 0.144997 | ltrb_amodal 0.300894 | tracking 0.277701 | time 0.266667 | 
2025-07-31-14-20: epoch: 23 |tot 0.844330 | hm 0.370226 | wh 0.480641 | reg 0.139612 | ltrb_amodal 0.291860 | tracking 0.257241 | time 0.266667 | 
2025-07-31-14-21: epoch: 24 |tot 0.837399 | hm 0.367118 | wh 0.473999 | reg 0.139155 | ltrb_amodal 0.290048 | tracking 0.254722 | time 0.266667 | 
2025-07-31-14-21: epoch: 25 |tot 0.843474 | hm 0.358145 | wh 0.466527 | reg 0.139425 | ltrb_amodal 0.286468 | tracking 0.270604 | time 0.266667 | 
2025-07-31-14-21: epoch: 26 |tot 0.821390 | hm 0.356034 | wh 0.469798 | reg 0.141263 | ltrb_amodal 0.287030 | tracking 0.248410 | time 0.266667 | 
2025-07-31-14-21: epoch: 27 |tot 0.813376 | hm 0.346192 | wh 0.458974 | reg 0.137194 | ltrb_amodal 0.279480 | tracking 0.256144 | time 0.266667 | 
2025-07-31-14-22: epoch: 28 |tot 0.796320 | hm 0.337796 | wh 0.472082 | reg 0.141421 | ltrb_amodal 0.284778 | tracking 0.241417 | time 0.266667 | 
2025-07-31-14-22: epoch: 29 |tot 0.759638 | hm 0.321502 | wh 0.454181 | reg 0.135944 | ltrb_amodal 0.275169 | tracking 0.229257 | time 0.266667 | 
2025-07-31-14-22: epoch: 30 |tot 0.747676 | hm 0.316914 | wh 0.437660 | reg 0.135526 | ltrb_amodal 0.270546 | tracking 0.224416 | time 0.266667 | 
2025-07-31-14-23: epoch: 31 |tot 0.731198 | hm 0.306675 | wh 0.428929 | reg 0.132121 | ltrb_amodal 0.264510 | tracking 0.223059 | time 0.266667 | 
2025-07-31-14-23: epoch: 32 |tot 0.696136 | hm 0.296567 | wh 0.420470 | reg 0.131955 | ltrb_amodal 0.260235 | tracking 0.199544 | time 0.266667 | 
2025-07-31-14-23: epoch: 33 |tot 0.679534 | hm 0.291532 | wh 0.417894 | reg 0.127486 | ltrb_amodal 0.257871 | tracking 0.192940 | time 0.266667 | 
2025-07-31-14-23: epoch: 34 |tot 0.681841 | hm 0.293922 | wh 0.418231 | reg 0.127306 | ltrb_amodal 0.258081 | tracking 0.192982 | time 0.266667 | 
2025-07-31-14-24: epoch: 35 |tot 0.702263 | hm 0.288547 | wh 0.414529 | reg 0.130107 | ltrb_amodal 0.257600 | tracking 0.216396 | time 0.266667 | 
2025-07-31-14-24: epoch: 36 |tot 0.706846 | hm 0.294189 | wh 0.417104 | reg 0.130055 | ltrb_amodal 0.259509 | tracking 0.214941 | time 0.266667 | 
2025-07-31-14-24: epoch: 37 |tot 0.678129 | hm 0.281486 | wh 0.413677 | reg 0.126638 | ltrb_amodal 0.255113 | tracking 0.203126 | time 0.266667 | 
2025-07-31-14-25: epoch: 38 |tot 0.660823 | hm 0.278465 | wh 0.406734 | reg 0.124922 | ltrb_amodal 0.252464 | tracking 0.191516 | time 0.266667 | 
2025-07-31-14-25: epoch: 39 |tot 0.681221 | hm 0.285820 | wh 0.405688 | reg 0.128166 | ltrb_amodal 0.253152 | tracking 0.201352 | time 0.266667 | 
2025-07-31-14-25: epoch: 40 |tot 0.674825 | hm 0.287337 | wh 0.408240 | reg 0.129724 | ltrb_amodal 0.255193 | tracking 0.191421 | time 0.266667 | 
2025-07-31-14-25: epoch: 41 |tot 0.694292 | hm 0.290088 | wh 0.412028 | reg 0.128530 | ltrb_amodal 0.255615 | tracking 0.208910 | time 0.266667 | 
2025-07-31-14-26: epoch: 42 |tot 0.663850 | hm 0.275193 | wh 0.405073 | reg 0.127265 | ltrb_amodal 0.252289 | tracking 0.195657 | time 0.266667 | 
2025-07-31-14-26: epoch: 43 |tot 0.672971 | hm 0.276786 | wh 0.407107 | reg 0.126640 | ltrb_amodal 0.252531 | tracking 0.203581 | time 0.266667 | 
2025-07-31-14-26: epoch: 44 |tot 0.696130 | hm 0.282348 | wh 0.412219 | reg 0.129047 | ltrb_amodal 0.255850 | tracking 0.217928 | time 0.266667 | 
2025-07-31-14-27: epoch: 45 |tot 0.703200 | hm 0.285569 | wh 0.411448 | reg 0.129672 | ltrb_amodal 0.256086 | tracking 0.221205 | time 0.266667 | 
2025-07-31-14-27: epoch: 46 |tot 0.649017 | hm 0.266479 | wh 0.402504 | reg 0.125277 | ltrb_amodal 0.250169 | tracking 0.191994 | time 0.266667 | 
2025-07-31-14-27: epoch: 47 |tot 0.695319 | hm 0.277833 | wh 0.410476 | reg 0.129781 | ltrb_amodal 0.255072 | tracking 0.221150 | time 0.266667 | 
2025-07-31-14-28: epoch: 48 |tot 0.665493 | hm 0.269170 | wh 0.403637 | reg 0.127476 | ltrb_amodal 0.252352 | tracking 0.203247 | time 0.266667 | 
2025-07-31-14-28: epoch: 49 |tot 0.659515 | hm 0.267381 | wh 0.402944 | reg 0.127859 | ltrb_amodal 0.251123 | tracking 0.198868 | time 0.266667 | 
2025-07-31-14-28: epoch: 50 |tot 0.660297 | hm 0.273049 | wh 0.396629 | reg 0.126922 | ltrb_amodal 0.249049 | tracking 0.195759 | time 0.266667 | 
2025-07-31-14-28: epoch: 51 |tot 0.665522 | hm 0.270294 | wh 0.399698 | reg 0.127621 | ltrb_amodal 0.249710 | tracking 0.202666 | time 0.266667 | 
2025-07-31-14-29: epoch: 52 |tot 0.656353 | hm 0.263926 | wh 0.401872 | reg 0.126391 | ltrb_amodal 0.251049 | tracking 0.200744 | time 0.266667 | 
2025-07-31-14-29: epoch: 53 |tot 0.658199 | hm 0.270194 | wh 0.399157 | reg 0.126121 | ltrb_amodal 0.249470 | tracking 0.197022 | time 0.266667 | 
2025-07-31-14-29: epoch: 54 |tot 0.639414 | hm 0.259627 | wh 0.393304 | reg 0.125249 | ltrb_amodal 0.246535 | tracking 0.190554 | time 0.266667 | 
2025-07-31-14-30: epoch: 55 |tot 0.675483 | hm 0.266777 | wh 0.399973 | reg 0.127328 | ltrb_amodal 0.251198 | tracking 0.216261 | time 0.266667 | 
2025-07-31-14-30: epoch: 56 |tot 0.664952 | hm 0.259552 | wh 0.397730 | reg 0.127490 | ltrb_amodal 0.250324 | tracking 0.213104 | time 0.266667 | 
2025-07-31-14-30: epoch: 57 |tot 0.642745 | hm 0.262429 | wh 0.396773 | reg 0.125587 | ltrb_amodal 0.248192 | tracking 0.190233 | time 0.266667 | 
2025-07-31-14-30: epoch: 58 |tot 0.634221 | hm 0.256892 | wh 0.392797 | reg 0.124359 | ltrb_amodal 0.245523 | tracking 0.189139 | time 0.266667 | 
2025-07-31-14-31: epoch: 59 |tot 0.655282 | hm 0.257333 | wh 0.392387 | reg 0.126201 | ltrb_amodal 0.246862 | tracking 0.207823 | time 0.266667 | 
2025-07-31-14-31: epoch: 60 |tot 0.639523 | hm 0.256079 | wh 0.393690 | reg 0.124318 | ltrb_amodal 0.246988 | tracking 0.195059 | time 0.266667 | 
